id,title,company,location,created,description,redirect_url,salary_min,salary_max
5182661381,Recruitment Consultant – WC Construction,Rec2 Recruitment,"Birmingham, West Midlands",2025-05-06T07:11:08Z,"Recruitment Consultant – White Collar Construction – Fast-growing independent supplier of white- and blue-collar personnel to large-scale construction projects across the country is seeking an experienced white-collar Recruitment Consultant with 12 months plus experience in sourcing production & commercial personnel to the Residential, Commercial, or M&E sectors to join their expanding Birmingham office. Excellent Career Opportunity – Manage a Dual Desk that offers career progression to Divisio…",https://www.adzuna.co.uk/jobs/details/5182661381?utm_medium=api&utm_source=3aea9429,25000,40000
5223579795,Reception Supervisor,Juice Hospitality,"Evesham, Worcestershire",2025-05-30T16:58:44Z,"As Reception Supervisor, you'll be the cornerstone of our guest experience, leading a dedicated front office team while maintaining the highest standards of service excellence. You'll ensure seamless check-ins, departures, and guest interactions while mentoring and developing your team. Key Responsibilities: • Lead and inspire a team of reception professionals • Oversee daily operations of the front desk, including scheduling and task delegation • Maintain exceptional guest service standards an…",https://www.adzuna.co.uk/jobs/details/5223579795?utm_medium=api&utm_source=3aea9429,31855.19,31855.19
5201567545,Customer Relationship Management Executive (CRM),The Big Phone Store,"Wednesfield, Wolverhampton",2025-05-16T10:58:10Z,"Customer Relationship Management Executive (CRM) Wednesfield, Wolverhampton Full Time, Hybrid Salary £24,000 - £50,000 dependent upon experience At The Big Phone Store, we don't just recycle phones, we're shaping a greener, more sustainable future. From solar-powered operations to eco-friendly packaging, we're committed to reducing waste and protecting the planet. Our impact goes beyond sustainability, we're also building a high performance, diverse and inclusive team where people from all over…",https://www.adzuna.co.uk/jobs/details/5201567545?utm_medium=api&utm_source=3aea9429,24000,50000
5206234994,King's Trust Assistant Team Leader – Birmingham,WCG,"Birmingham, West Midlands",2025-05-19T16:34:56Z,"This role is based in the UK and will be working on site in our UK based College. In order to comply with our mandatory pre-employment checks, the successful candidate will be required to provide original identification documents in person to our UK based HR Team. Protection of Children & Young Persons (The Children's Act 1989) Any offers of appointment will be subject to a Disclosure and Barring Service (DBS) check (formerly CRB), a certificate of good conduct if applicable, plus receipt of sa…",https://www.adzuna.co.uk/jobs/details/5206234994?utm_medium=api&utm_source=3aea9429,23493,23493
5196243611,HGV Class 1 Driver Cannock,Fox Resourcing & Recruitment,"Cannock, Staffordshire",2025-05-13T11:21:05Z,Fox Resourcing are looking for Class 1 Drivers working on an Ad Hoc basis at our Cannock depots. Location: Cannock Working Hours: Ad Hoc Shifts Available Pay rates: £16.26-£20.74 The role consists of completing deliveries and collections. About You You should hold a HGV 1/CE Licence for a minimum of 12 months No more than 6 points no DD/ DR Code convictions Hold a current valid DCPC & Tacho cards Understand and able to comply with Driver’s hours and WTD legislation Able to understand and carry …,https://www.adzuna.co.uk/jobs/details/5196243611?utm_medium=api&utm_source=3aea9429,16,20
5203606725,Support Worker,Hillgate Recruitment Services,"Nottingham, Nottinghamshire",2025-05-17T15:42:58Z,"JOB TITLE: Support Workers LOCATION: Chesterfield, Derbyshire CONTRACT: Zero hours SHIFT PATTERN: as per business needs PAY RATE: £16.32 per hour Hillgate Recruitment Services is a leading recruitment agency in the UK. With over 25 years of experience, we have been serving a diverse range of clients across various industries, Healthcare Sectors . Our team of dedicated professionals, currently consisting of over 3,500 skilled and motivated individuals, is committed to delivering excellence in fa…",https://www.adzuna.co.uk/jobs/details/5203606725?utm_medium=api&utm_source=3aea9429,12,12
5194742295,Multi-Skilled Crane Engineer,WH Scott Group,"Yate, Bristol",2025-05-12T12:18:23Z,"Exciting Opportunity for Multi-Skilled Engineers – RHC Lifting - Now Part of WH Scott Group! RHC Lifting Limited , a market leader in the lifting equipment industry, is dedicated to delivering innovative solutions and exceptional service to clients across the South East. As part of the WH Scott Group , we are seeking highly skilled and motivated Multi-Skilled / Maintenance Engineers to join our dynamic team. About the Role As a Multi-Skilled Maintenance Engineer, you will: Attend breakdowns, pe…",https://www.adzuna.co.uk/jobs/details/5194742295?utm_medium=api&utm_source=3aea9429,35000,35000
5202511050,Care Assistant,Premier Community,"Duckmanton, Chesterfield",2025-05-16T21:32:44Z,"Apply today to join our multi award-winning family run business to begin or grow your career in the health and social care sector. We are the largest home community care company in Derbyshire and Nottinghamshire, and we are experiencing large demands for the services of our Professional Premier Community Carers. Our size and reputation mean we can offer all our successful new carers contracted hours to availability that matches your lifestyle. The day-to-day role of a community carer has many m…",https://www.adzuna.co.uk/jobs/details/5202511050?utm_medium=api&utm_source=3aea9429,30888,36296
5212274274,SEMH Resourced Provision Learning Coach,Teaching Personnel Ltd,"Fareham, Hampshire",2025-05-23T12:51:32Z,"SEMH Resources Provision Learning Coach Full Time Fareham September 2025 A well-established and inclusive secondary school in Fareham is seeking to appoint a dedicated and compassionate SEMH Resourced Provision Learning Coach to join its specialist team from September 2025 . This is an exciting opportunity to be part of a nurturing, innovative environment that prioritises the well-being and progress of pupils with Social, Emotional and Mental Health (SEMH) needs. The role is full-time and term-…",https://www.adzuna.co.uk/jobs/details/5212274274?utm_medium=api&utm_source=3aea9429,23316,24224
4460389357,Interpreter Translator Required In Polegate East Sussex BN,Language Empire,"Polegate, East Sussex",2023-12-01T20:22:29Z,"Are you looking for an interpreter job in Polegate, East Sussex? Do you want flexible hours with competitive rates? We are urgently recruiting for freelance interpreters to work within various settings such as the NHS, Local Authorities, Police, Probation and other public and private organisations. Established in 2001, Language Empire provides professional interpreting and translation services to the public and private sectors across the UK. We have been offering our services in the UK for over…",https://www.adzuna.co.uk/jobs/details/4460389357?utm_medium=api&utm_source=3aea9429,26500.49,26500.49
5207483029,Project Manager,iMin,"Oakdale, Poole",2025-05-20T13:52:24Z,"Job Description: Conduct industry research, case analysis, and benchmarking research according to project requirements; Understand and consolidate customer needs, work out a project proposal (PPT), prepare tenders, and a delivery plan. Lead and organize the entire project, including customer visits, group meetings, proposal presentation, high-level communication, tender/ bid preparation, consultant interviews, etc Case analysis and provide a successful experience to the sales team Manage projec…",https://www.adzuna.co.uk/jobs/details/5207483029?utm_medium=api&utm_source=3aea9429,54000,84000
4466556763,Interpreter Translator Required In Lochearnhead Perthshire FK,Language Empire,"Balquhidder, Lochearnhead",2023-12-06T14:16:48Z,"Are you looking for an interpreter job in Lochearnhead, Perthshire? Do you want flexible hours with competitive rates? We are urgently recruiting for freelance interpreters to work within various settings such as the NHS, Local Authorities, Police, Probation and other public and private organisations. Established in 2001, Language Empire provides professional interpreting and translation services to the public and private sectors across the UK. We have been offering our services in the UK for o…",https://www.adzuna.co.uk/jobs/details/4466556763?utm_medium=api&utm_source=3aea9429,28981.42,28981.42
5218335187,EHC Coordinator,Brackenberry,"Nottingham, Nottinghamshire",2025-05-27T13:37:26Z,"We are working closely alongside a Local Authority in Nottinghamshire to assist with the appointment of an EHC Coordinator , on a 3-month contract , likely to be extended at clients discretion. Please apply with your CV for immediate consideration. Rate of Pay : £16.29 - £22.27 per hour Summary: The EHC Coordinator is responsible for managing and coordinating statutory Education, Health and Care Needs Assessments (EHCNA) and maintaining Education, Health and Care Plans (EHCPs) for children and …",https://www.adzuna.co.uk/jobs/details/5218335187?utm_medium=api&utm_source=3aea9429,34679.34,34679.34
5216599343,.NET Developer,Noir,"Kingsway, Derby",2025-05-26T14:08:21Z,".NET Developer, .NET 9, C#, Agile - Derby (Tech stack: .NET Developer, .NET 9, ASP.NET, C#, React, Angular 19, Microservices, Vue.js, TypeScript, Azure, Web API 2, Agile, Azure SQL, Programmer, Full Stack Engineer, Architect, .NET Developer) We are pleased to announce the arrival in the UK of one of Silicon Valley's most successful and exciting brands. They're at the heart of the Internet, helping the most innovative companies remove the complexities of delivering any experience, to any device,…",https://www.adzuna.co.uk/jobs/details/5216599343?utm_medium=api&utm_source=3aea9429,45000,60000
5201638489,Education Healthcare Assistant,GSL Education,"Poole, Dorset",2025-05-16T12:48:00Z,"Job Title: Education Healthcare Assistant Location: Poole Salary: £13.68 - £16.12 per hour (Depending on experience) Start Date: Immediate Contract Type: Full-time, Permanent Are you passionate about supporting young people in a nurturing, outdoor learning environment? Do you want to play a vital role in helping individuals with Special Educational Needs thrive both academically and personally? GSL Education are on the lookout for a motivated Education Healthcare Assistant to join a forward-thi…",https://www.adzuna.co.uk/jobs/details/5201638489?utm_medium=api&utm_source=3aea9429,28454,33529
5174655936,Associate Dentist,MBR Dental,"Witley, Godalming",2025-05-01T21:48:33Z,"Associate Dentist / Godalming. Surrey MBR dental are currently assisting a dental practice located in Godalming, Surrey to recruit an Associate Dentist to join their team on a permanent basis. Independent practice. Position available asap with notice periods taken into consideration. Part Time position, 3 days available. Tues or Wed, Thurs & Fri9am – 5.30pm. Flexible UDA allocation depending on performance levels. UDA value negotiable. NHS/FPI and Plan patient list. Established patient list. 50…",https://www.adzuna.co.uk/jobs/details/5174655936?utm_medium=api&utm_source=3aea9429,74113.66,74113.66
4787766377,Chef de Partie,,"Basingstoke, Hampshire",2024-07-20T05:37:19Z,This stylish and elegant hotel is searching for an enthusiastic Chef de Partie to join their kitchen brigade working with a highly talented Head Chef - looking to achieve and develop the team and your Furture Stunning location - with beautiful views - with Live in and a fantatsic culture and a Great belief in staff welfare and well being. As a Chef de Partie you will be an integral part of the team to lead a section in the kitchen creating the finest dishes and working to the highest of standar…,https://www.adzuna.co.uk/jobs/details/4787766377?utm_medium=api&utm_source=3aea9429,32000,32000
5199817273,Line Operative,Anglian,"Old Catton, Norwich",2025-05-15T12:47:27Z,"About Us: About Us: Join our production team at Anglian Home Improvemnts, where we specialise in manufacturing high-quality bi-fold doors, doors, and window products. We are committed to delivering exceptional customer service and maintaining the highest standards of quality and efficiency. Job Description We are seeking a dedicated and skilled Line Operator to support our production team. In this role, you will be responsible for operating CNC machines, saws, and crimpers to build and glaze bi…",https://www.adzuna.co.uk/jobs/details/5199817273?utm_medium=api&utm_source=3aea9429,44,31643
5008559345,Panel Wireman/ Workshop Eng,Premier Group Recruitment,"Annesley Woodhouse, Kirkby-In-Ashfield",2025-01-13T11:55:41Z,"Job Description JOB – Panel Wireman LOCATION – Nottinghamshire TERM - Permanent SALARY - £30,000 per annum A Nottinghamshire based manufacturing company are looking for a Panel Wireman to join their team on a permanent basis. The Panel Wireman will ideally have the following attributes: NVQ or equivalent Electrical Engineering qualifications. Previous experience in electrical positions. Ability to work independently or as part of a team. Full UK Driving License. The Panel Wireman’s duties will …",https://www.adzuna.co.uk/jobs/details/5008559345?utm_medium=api&utm_source=3aea9429,31070.18,31070.18
